date,tweet
2020-10-16 04:23:33,RT @TheCreation: @MZHemingway @davereaboi Biden is like China stealing intellectual property. He steals every one of Trump's strong talking…
2020-10-16 04:22:47,RT @PatriciaAHenso1: @MZHemingway Comment https://t.co/kkNUwylyxF
2020-10-16 04:22:45,RT @Oxfordsonly: @MZHemingway Did you see him at this thing? He looked like a corpse. https://t.co/rq913PolKA
2020-10-16 04:03:37,RT @DCfegan: Can someone honestly say they want @JoeBiden to be their president? #JoeBidenUkraineScandal
2020-10-16 04:03:16,"RT @RealJamesWoods: Number one!!!!! I can’t call you my “followers,” because you are so much more than that. You are truly my heroes. #Croo…"
2020-10-16 04:02:51,"RT @AmericaFirstPAC: 🚨Hunter Biden demanded Chinese billionaire pay $10 million for ‘introductions alone’

#JoeBidenUkraineScandal 

https:…"
2020-10-16 04:00:34,RT @jasoninthehouse: Totally agree
2020-10-16 03:59:43,RT @jasoninthehouse: Agreed
2020-10-16 03:59:30,"RT @tedcruz: This is insane. 

#BigTechCensorship"
2020-10-16 03:59:15,RT @hughhewitt: This is a blockbuster story from @nypost.  Watch and see if any cable news channels carry it: https://t.co/gd2baCW51h There…
2020-10-16 03:58:52,"RT @DrewHolden360: 🧵Thread🧵

The bombshell @nypost story about Joe &amp; Hunter Biden has caused some bluechecks to suddenly worry about pushin…"
2020-10-16 03:58:06,RT @jasoninthehouse: Truly stunning.....
2020-10-16 03:47:21,RT @jasoninthehouse: Sickening
2020-10-16 03:47:09,RT @jasoninthehouse: Obama conference call leaked to Burisma: Biden emails https://t.co/ckNMurwMq0
2020-10-15 20:45:11,THANK YOU NORTH CAROLINA! https://t.co/4epZQPjfi7
2020-10-15 20:41:59,"Pelosi is holding up STIMULUS, not the Republicans!"
2020-10-15 20:31:28,"I will be doing a major Fake @NBCNews Town Hall Forum, live tonight from Miami, at 8:00 P.M. They asked me to do it in place of the Rigged Steve Scully (he is now suspended from @cspan for lying) Debate. I wonder if they’ll treat me as well as Sleepy Joe? They should!"
2020-10-15 19:54:44,I was right again! Steve Scully just admitted he was lying about his Twitter being hacked. The Debate was Rigged! He was suspended from @cspan indefinitely. The Trump Campaign was not treated fairly by the “Commission”. Did I show good instincts in being the first to know?
2020-10-15 19:28:20,"If we don’t win, the Radical Left will destroy our Country. Biden refuses to answer questions on packing the SCOTUS! Dems will pack the Court w/ radical left justices who will shred the #2A, empower violent mobs, and protect terrorists &amp; violent criminals! https://t.co/qUrjRM6MTp"
2020-10-15 19:24:36,"Joe Biden and the Democrat Socialists will kill your jobs, dismantle your police departments, dissolve your borders, release criminal aliens, raise your taxes, confiscate your guns, end fracking, destroy your suburbs, and drive God from the public square. https://t.co/vrjMVaZhDI"
2020-10-15 19:21:32,"If Big Tech persists, in coordination with the mainstream media, we must immediately strip them of their Section 230 protections. When government granted these protections, they created a monster!
https://t.co/velyvYTOR0"
2020-10-15 19:20:21,"It was great to be back in North Carolina with thousands of loyal, hardworking American Patriots! This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, North Carolina WINS, and America WINS! https://t.co/jWYVYZdT3E"
