date,tweet
2020-10-16 02:05:00,"I just stepped off the stage at tonight’s town hall, where I laid out what’s at stake in this election.

Now, I need your help. Chip in to power our campaign through this final stretch. https://t.co/OcFsE3oMHq"
2020-10-16 01:56:00,"If I'm elected president, you won't hear me race-baiting, you won't hear me dividing — you'll hear me trying to unify. https://t.co/PNsBW8OQmX"
2020-10-16 01:53:00,"How will I ensure the rights of LGBTQ+ people are protected under U.S. law?

I’ll change the law."
2020-10-16 01:42:00,We have to heal this nation. https://t.co/wD45ZGcKO2
2020-10-16 01:33:00,"I'm running as a proud Democrat, but I'm going to be an American president. 

I'm going to take care of those who voted against me as well as those who voted for me. 

That's what presidents do."
2020-10-16 01:29:00,"We're a diverse country — and unless we are able to treat people equally, we're just never going to meet our potential."
2020-10-16 01:02:00,"Folks, I hope I’m making you proud during tonight’s town hall.

If you’re with us, please chip in to help power our campaign over these final 19 days. https://t.co/rA9WmMPRxs"
2020-10-16 00:47:00,"Two of the things I've cared about throughout my whole career:

1. Improving the criminal justice system.
2. Putting Black Americans in a position to gain generational wealth.

And as president, I will continue that fight every day."
2020-10-16 00:31:00,The words of a president matter. https://t.co/ABrbg5xTkg
2020-10-16 00:20:00,"Let me be very clear: If you make under $400,000 you won’t pay a penny more in taxes under my administration."
2020-10-16 00:18:00,"The words of a president matter. And when a president doesn't wear a mask or makes fun of folks who do, it has consequences."
2020-10-16 00:13:00,"Over 215,000 Americans have died from COVID-19, and what is President Trump doing?

Nothing."
2020-10-16 00:11:00,"We're eight months into this pandemic, and Donald Trump still doesn't have a plan to get this virus under control.

I do."
2020-10-15 23:47:00,"I’m about to step on stage for tonight’s town hall in Philadelphia, Pennsylvania. Tune in to @ABC to watch live."
2020-10-15 23:21:00,"This is not a moment — it's a movement.

Rise up and be a part of it with the original cast of Hamilton.

Chip in to join: https://t.co/YtCDSeBN01"
2020-10-15 21:31:00,"Well, folks, @KamalaHarris and I watched some of President Trump’s remarks from the campaign trail — and it went just as you’d imagine. We wanted to take a moment to clear up some of the lies he’s been saying about us. https://t.co/QWqXp3qdSD"
