date,tweet
2020-10-15 14:04:01,Thank God for the favor the increase and these YEEZY SLIIIIIIIDZZZZ ⛷ thank Billboard awards for the 9 nominations and 4 wins.  Invite me next time and I’ll pull up https://t.co/ZiqIIwI6Wp
2020-10-15 12:20:25,RT @JESUSlSKING: #GODSAVEAMERICA @kanyewest https://t.co/MdwJPIRW9z
2020-10-15 12:19:59,RT @KimKardashian: 🎤🎤🎤🎤
2020-10-15 12:17:42,"RT @butsmallhead: We need president who put god will in priority 🙏 and love all people ❤️ @kanyewest is my president 🤝  small head, BIG HEA…"
2020-10-15 12:03:20,https://t.co/nEOd6Auz17
2020-10-15 12:01:50,https://t.co/PooGVJfmoi
2020-10-15 02:10:49,Love this game https://t.co/JiB3lKfbIQ
2020-10-14 17:41:54,https://t.co/itT4uCNs8b         Praise God 🙏🏾 https://t.co/qsrv78ZFL9
2020-10-14 14:45:15,https://t.co/QVUnkXOlO5
2020-10-14 14:33:02,https://t.co/DRlix9mjvB
2020-10-14 14:29:40,"At least 600 are reported dead as of yesterday in the conflict 

Deaths mount in Armenia-Azerbaijan clashes amid truce calls"
2020-10-14 13:16:26,RT @ComplexMusic: Kid Cudi talks 'Kids See Ghosts' and HBO series 'We Are Who We Are' in new interview:  https://t.co/PsAsO03Ia6 https://t.…
2020-10-14 13:09:08,RT @Jei_Siah: THIS IS MY GOAT PRESIDENT‼️🤍
2020-10-14 13:05:24,RT @excitebikee: Hi @kanyewest we need this bad bro🙏🏾🙏🏾🔥
2020-10-14 13:05:21,"RT @HYPEBEAST: ""THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC NAH NAH NAH."" https://t.co/l5gbrS4V0G"
2020-10-14 12:40:11,"RT @TheLifeOfJulian: bro he dont MISS 14 years in still making hits, unreal"
2020-10-14 12:40:09,RT @TheLifeOfJulian: bro WHAT this song is so hard
2020-10-14 12:39:54,RT @TheLifeOfJulian: WE NEED THIS TOO YE!!
2020-10-14 12:36:31,RT @WORLDSTAR: #KanyeWest tryna get on the #JoeRogan show! Would y’all watch this?👇🤔 @kanyewest @joerogan https://t.co/otBWAlVg0B
2020-10-14 12:35:41,"RT @XXL: ⬇️ TODAY IN HIP-HOP ⬇️

1991: UMC’s release their debut album Fruits of Nature

What’s their best song? https://t.co/RScdbJkeRB"
2020-10-14 05:23:48,THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC     NAH NAH NAH https://t.co/p3NhTV11cN
2020-10-14 05:13:30,RT @sohh: YE 2020 AFTER ALL? Kanye West is leading Joe Biden and Donald Trump in Kentucky precinct voting polls 🇺🇸🗳 https://t.co/s29S1YTCrz
2020-10-14 04:43:36,My friend Eli’s hoodie       Love this https://t.co/75akNRvUr0
2020-10-14 04:00:54,RT @ye4us: HOW TO WRITE IN @kanyewest FOR PRESIDENT OF THE UNITED STATES: https://t.co/dqry2VlxJ9
2020-10-14 03:54:54,PEOLE TRIED TO TALK ME OUT OF RUNNING FOR PRESIDENT... NEVER LET WEAK CONTROLLING PEOPLE KILL YOUR SPIRIT
2020-10-14 03:52:36,GET THE WEST WING READY !!! ... this is how I felt when I saw that Kentucky pole result 🌎🌍🌏🪐💫☄️💥🔥🇺🇸 https://t.co/k9e87MGKZL
2020-10-14 00:27:23,👀 https://t.co/DLXt0yv1Kh
2020-10-14 00:18:27,https://t.co/n7pLrR9pi5
2020-10-13 20:53:07,Thai horn melon https://t.co/BALbqpuwMg
2020-10-13 18:48:55,"My condolences to the family and the people of Manchester, Tennessee who lost their dedicated Mayor, Lonnie Norman to COVID-19."
2020-10-13 18:02:49,EARLY VOTING STARTS TODAY IN KENTUCKY     VOTE KANYE     https://t.co/UUB5pOT1OM
2020-10-12 22:27:07,Friends writing me in ⛷ https://t.co/7GVXzYoHjt
2020-10-12 22:06:49,"I stand with my Nigerian brothers and sisters to end police brutality, the government must answer to the peoples cries #EndPoliceBrutalityinNigeria"
2020-10-12 21:30:33,https://t.co/ZURvTEW9ee  we stepping out on faith https://t.co/ypQfooB35w
2020-10-12 19:05:41,RT @justmattbentley: 🤯 https://t.co/nEy5454w05
2020-10-12 15:53:18,I love UZI         I be saying the same thing about Steve Jobs    I be feeling just like UZI
2020-10-12 15:51:53,https://t.co/HXfuAWkcOI
2020-10-12 15:49:21,Black babies lives matter      1000 black children are aborted daily     👀
2020-10-12 15:48:54,Would love to go on Joe Rogan’s podcast LIVE this week      I have my team trying to get your number    Joe I’m in Calabassas   Let’s do this my friend ⛷ https://t.co/OCyqWlHaNH
