date,tweet
2020-10-13 21:56:41,"....protecting people with Pre-existing conditions. He has done nothing on Healthcare, cost or otherwise, or virtually anything else. An empty suit!!!"
2020-10-13 21:56:41,"How dare failed Presidential Candidate (1% and falling!) @CoryBooker make false charges and statements about me in addressing Judge Barrett. Illegally, never even lived in Newark when he was Mayor. Guy is a total loser! I want better Healthcare for far less money, always....."
2020-10-13 17:56:28,Early voting is underway in the Great States of GEORGIA and TEXAS. Find out where to early vote by clicking below! #MAGA https://t.co/gsFSghkmdM
2020-10-13 16:48:57,Happy 245th Birthday to our GREAT @USNavy! #Navy245 https://t.co/EEGIwCh0wD
2020-10-13 16:43:37,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz"
2020-10-13 16:41:47,"Join me Friday (10/16) evening at 7:00pmE in Macon, Georgia at the Middle Georgia Regional Airport! #MAGA https://t.co/rZbqKTueVg"
2020-10-13 16:36:56,"Join me Friday (10/16) in Ocala, Florida at the Ocala International Airport at 4:00pmE! #MAGA https://t.co/ZVRMGBCE1c"
2020-10-13 16:34:21,"Join me on Thursday afternoon (1:00pmE) in Greenville, North Carolina at the Pitt-Greenville Airport! #MAGA https://t.co/owg9pSXWJz"
2020-10-13 16:30:57,"Join me tomorrow tonight (Wednesday) in Iowa, at the Des Moines International Airport! https://t.co/92lmaoNdTo"
2020-10-13 16:28:24,"Join me tonight at 7:00pmE in Johnstown, Pennsylvania at the John Murtha Johnstown-Cambria County Airport! #MAGA https://t.co/8o9QHHDn1h"
2020-10-13 15:05:31,"RT @gmoomaw: Virginia’s voter registration system reportedly having problems on the last day to register to vote, with early voting in full…"
2020-10-13 15:04:33,This is happening all over the U.S. Rigged Election??? https://t.co/MG0d9xUH1Z
2020-10-13 15:01:57,STIMULUS! Go big or go home!!!
2020-10-13 13:43:45,“The Radical Left is trying hard to undermine the Christopher Columbus legacy. A great Italian opened new chapter in history of humanity by discovering the Americas”.  @OANN  Not on my watch!
2020-10-13 12:11:00,"Actually, Tony’s pitching arm is far more accurate than his prognostications. “No problem, no masks”. WHO no longer likes Lockdowns - just came out against. Trump was right. We saved 2,000,000 USA lives!!! https://t.co/YyLyCsbZ7a"
2020-10-13 12:01:16,"We love the people of Lake Charles, Louisiana. You’ve been hit hard , and often, but your Federal Government is there to help. It will all work out, and FAST!!! @fema @USArmy"
2020-10-13 11:50:47,"Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always protect people with Pre-existing conditions!!!!"
2020-10-13 11:48:02,GOP raises over 1 Billion Dollars through @WINRED since recent founding. November 3rd. The most important Election in the History of our Country!!!
2020-10-13 11:44:14,"California hired a pure Sleepy Joe Democrat firm to count and “harvest” votes. No way Republicans get a fair shake. Lawyers, get started!!! @GOPLeader  California is in big trouble. Vote Trump and watch the greatest comeback of them all!!! Also, New York and Illinois - go for it!"
2020-10-13 11:37:00,"Congratulations Dan. You, Breitbart and others have decimated the business at Drudge. It’s gone the way of the @NBA, ratings down 70%. People want the TRUTH! Drudge Report sold out, suffered a massive “nervous breakdown”. Happening @FoxNews also??? https://t.co/Zr07XdHtNx"
